,modelname,productpdfurl,productimageurl,productimageurl2,productimageurl3,productimageurl4
0,Amatrol's Process Control Learning Systems,https://tech-labs.com/sites/default/files/Brc_SmartFactoryTabletopMechatronics.pdf,https://tech-labs.com/sites/default/files/product_images/process-control-landing-page-700-x-398.jpg,https://tech-labs.com/sites/default/files/product_images/Hands-On-Smart-Sensor-Training.jpg,https://tech-labs.com/sites/default/files/product_images/Amatrol-Tabletop-Mechatronics-Smart-Factory-with-FANUC-Robot.jpg,https://tech-labs.com/sites/default/files/product_images/Tabletop%20Smart%20Factory%20-%20TL%20-%2005-21%20-03.jpg
1,Amatrol’s Smart Factory Tabletop Mechatronics System,https://tech-labs.com/sites/default/files/Brc_SkillBoss_Form6700-A_11x17_email_L.PDF,https://tech-labs.com/sites/default/files/product_images/Tabletop%20Smart%20Factory%20-%20TL%20-%2005-21%20-03.jpg,https://tech-labs.com/sites/default/files/product_images/Amatrol-Skill-Boss-CPT%2B.jpeg,https://tech-labs.com/sites/default/files/product_images/amatrol-95-MSB1-Skill_Boss-MSSC_front.jpeg,https://tech-labs.com/sites/default/files/product_images/amatrol-95-MSB1-Skill_Boss-MSSC.jpg
2,Skill Boss: Comprehensive Assessment,https://tech-labs.com/sites/default/files/T7017-A_AC-DCElectricalLearningSystem_Form6610-E_L.pdf,https://tech-labs.com/sites/default/files/product_images/amatrol-95-MSB1-Skill_Boss-MSSC.jpg,https://tech-labs.com/sites/default/files/product_images/MB227-2.jpg,https://tech-labs.com/sites/default/files/product_images/MB227.jpg,https://tech-labs.com/sites/default/files/product_images/T7017A.png
3,AC/DC Electrical Learning System,https://tech-labs.com/sites/default/files/Amatrol-Agritech-Brochure.pdf,https://tech-labs.com/sites/default/files/product_images/T7017A.png,https://tech-labs.com/sites/default/files/product_images/Amatrol-Agritech-Training_Overview.png,https://tech-labs.com/sites/default/files/product_images/Amatrol-Agritech-Training.png,https://tech-labs.com/sites/default/files/product_images/Amatrol-Agritech-Training2.png
4,Amatrol Agritech,https://tech-labs.com/sites/default/files/Brc_SkillBoss_Form6700-A_11x17_email_L.PDF,https://tech-labs.com/sites/default/files/product_images/Amatrol-Agritech-Training2.png,https://tech-labs.com/sites/default/files/product_images/TEP--870_Mechatronics_1982.jpg,https://tech-labs.com/sites/default/files/product_images/lift-870_PTAB82_00808.jpg,https://tech-labs.com/sites/default/files/product_images/AEC-25098-AAU_FANUCRobotIntegrPkg_cntxt-w870-Mech.jpg
5,Amatrol eBooks,https://tech-labs.com/sites/default/files/950-STF1_SolarThermalInstallation_Form6553_L.pdf,https://tech-labs.com/sites/default/files/product_images/amatrol_ebooks.png,https://tech-labs.com/sites/default/files/product_images/Amatrol-Skill-Boss-CPT%2B.jpeg,https://tech-labs.com/sites/default/files/product_images/amatrol-95-MSB1-Skill_Boss-MSSC_front.jpeg,https://tech-labs.com/sites/default/files/product_images/amatrol-95-MSB1-Skill_Boss-MSSC.jpg
6,Amatrol Electric Motor Troubleshooting Learning System,https://tech-labs.com/sites/default/files/85-MT2_BasicElectricalMachinesLearningSystem_Form6603-G_L_0.pdf,https://tech-labs.com/sites/default/files/product_images/85-MT2E-Web-Header-700x412.jpg,https://tech-labs.com/sites/default/files/product_images/95-STW1_0.png,https://tech-labs.com/sites/default/files/product_images/M20103.jpg,https://tech-labs.com/sites/default/files/product_images/950-STF1.jpg
7,Amatrol High School Learning Programs,https://tech-labs.com/sites/default/files/950-PM1_CentrifugalPumpLearningSystem_Form6621-E_L.pdf,https://tech-labs.com/sites/default/files/product_images/preengineering-1149-amatrol-high-school-technical-training.png,https://tech-labs.com/sites/default/files/product_images/industrial-maintenance-amatrol.png,https://tech-labs.com/sites/default/files/product_images/amatrol-packaging-trainers.png,https://tech-labs.com/sites/default/files/product_images/automation-landing-page-700-x-398.jpg
8,Amatrol Level 1 Programmable Controllers,https://tech-labs.com/sites/default/files/990-DRV1_PortableACMotorDriveLearningSystem_Form6869-A_L.pdf,https://tech-labs.com/sites/default/files/product_images/890-PECB.jpg,https://tech-labs.com/sites/default/files/product_images/flowchart.png,https://tech-labs.com/sites/default/files/product_images/nims_cert.jpg,https://tech-labs.com/sites/default/files/product_images/cncmachine.jpg
9,Amatrol Mechatronics Learning System,https://tech-labs.com/sites/default/files/990-DRV1F_PortableACMotorDriveLearningSystem_Form6864-A_L.pdf,https://tech-labs.com/sites/default/files/product_images/AEC-25098-AAU_FANUCRobotIntegrPkg_cntxt-w870-Mech.jpg,https://tech-labs.com/sites/default/files/product_images/85-MT2-C.jpg,https://tech-labs.com/sites/default/files/product_images/emm.jpg,https://tech-labs.com/sites/default/files/product_images/85-MT2.jpg
10,Skill Boss: Comprehensive Assessment,https://tech-labs.com/sites/default/files/990-ACDC1_PortableACDCElectricalLearningSystem_Form6877-A_L.pdf,https://tech-labs.com/sites/default/files/product_images/amatrol-95-MSB1-Skill_Boss-MSSC.jpg,https://tech-labs.com/sites/default/files/product_images/95-PM1-A.jpg,https://tech-labs.com/sites/default/files/product_images/Pumps-ebook.png,https://tech-labs.com/sites/default/files/product_images/950-PM1.jpg
11,Amatrol Solar Thermal Installation Learning System,https://tech-labs.com/sites/default/files/990-EC1_PortableElectricaRelayControlLearningSystem_Form6870-A_L.pdf,https://tech-labs.com/sites/default/files/product_images/950-STF1.jpg,https://tech-labs.com/sites/default/files/product_images/990-DRV1_3.png,https://tech-labs.com/sites/default/files/product_images/multimedia.png,https://tech-labs.com/sites/default/files/product_images/990-DRV1.png
12,Amatrol's Automation Training Systems,https://tech-labs.com/sites/default/files/990-SN1_PortableElectronicSensorsLearningSystem_Form6875-A_L.pdf,https://tech-labs.com/sites/default/files/product_images/automation-landing-page-700-x-398.jpg,https://tech-labs.com/sites/default/files/product_images/multimedia_0.png,https://tech-labs.com/sites/default/files/product_images/990-DRV1F-2.png,https://tech-labs.com/sites/default/files/product_images/990-DRV1F.png
13,Amatrol's CNC Machine Operator Program,https://tech-labs.com/sites/default/files/990-MC1_PortableMotorControlLearningSystem_Form6867-A_L.pdf,https://tech-labs.com/sites/default/files/product_images/cncmachine.jpg,https://tech-labs.com/sites/default/files/product_images/990-ACDC1_3.png,https://tech-labs.com/sites/default/files/product_images/990-ACDC1_2_0.png,https://tech-labs.com/sites/default/files/product_images/990-ACDC1.png
14,Amatrol's Electrical Training Systems,https://tech-labs.com/sites/default/files/990-MC1F_PortableMotorControlTroubleshootingLearningSystem_Form6866-A_L.pdf,https://tech-labs.com/sites/default/files/product_images/electrical-landing-page-700-x-398.jpg,https://tech-labs.com/sites/default/files/product_images/990-EC1-3.png,https://tech-labs.com/sites/default/files/product_images/990-EC1-2.png,https://tech-labs.com/sites/default/files/product_images/990-EC1.png
15,Amatrol's Fluid Power Training Systems,https://tech-labs.com/sites/default/files/990-PAB53_PortablePLCLearningSystem-ABCompactLogix_Form6873-A_L.pdf,https://tech-labs.com/sites/default/files/product_images/fluid-power-landing-page-700-x-398.jpg,https://tech-labs.com/sites/default/files/product_images/990-SN1-3.png,https://tech-labs.com/sites/default/files/product_images/990-SN1-2.png,https://tech-labs.com/sites/default/files/product_images/990-SN1.png
16,Amatrol's Mechanical Training Systems,https://tech-labs.com/sites/default/files/990-PAB53F_PortablePLCTroubleshootingLearningSystem-ABCompactLogix_Form6874-A_L.pdf,https://tech-labs.com/sites/default/files/product_images/mechanical-landing-page-700-x-398.jpg,https://tech-labs.com/sites/default/files/product_images/990-MC1-3.png,https://tech-labs.com/sites/default/files/product_images/990-MC1-2.png,https://tech-labs.com/sites/default/files/product_images/990-MC1.png
