,modelname,manufacturer,category,programurl,categoryinfo2,categoryinfo3
0,Amatrol's Process Control Learning Systems,Amatrol,Process Control Training Systems,https://tech-labs.com/products/amatrols-process-control-learning-systems,Oil & Gas,Mechatronics
1,Amatrol’s Smart Factory Tabletop Mechatronics System,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/amatrol%E2%80%99s-smart-factory-tabletop-mechatronics-system,Industry 4.0,Electrical
2,Skill Boss: Comprehensive Assessment,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/skill-boss-comprehensive-assessment,Electrical,Hydraulics / Pneumatics Trainers
3,AC/DC Electrical Learning System,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/acdc-electrical-learning-system,Electrical,Mechanical Drives
4,Amatrol Agritech,Amatrol,e-Learning,https://tech-labs.com/products/amatrol-agritech,Programmable Logic Controllers,Electrical
5,Amatrol eBooks,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/amatrol-ebooks,Solar Energy,Electrical
6,Amatrol Electric Motor Troubleshooting Learning System,Amatrol,STEM / Robotics Education,https://tech-labs.com/products/amatrol-electric-motor-troubleshooting-learning-system,Automation,Electrical
7,Amatrol High School Learning Programs,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/amatrol-high-school-learning-programs,Advanced Manufacturing,Motor Control
8,Amatrol Level 1 Programmable Controllers,Amatrol,Mechatronics,https://tech-labs.com/products/amatrol-level-1-programmable-controllers,Advanced Manufacturing,Motor Control
9,Amatrol Mechatronics Learning System,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/amatrol-mechatronics-learning-system,Advanced Manufacturing,Programmable Logic Controllers
10,Skill Boss: Comprehensive Assessment,Amatrol,Green Energy,https://tech-labs.com/products/skill-boss-comprehensive-assessment?utm_source=website&utm_medium=vert_ad&utm_campaign=skillboss,Electrical,Programmable Logic Controllers
11,Amatrol Solar Thermal Installation Learning System,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/amatrol-solar-thermal-installation-learning-system,Electrical,Programmable Logic Controllers
12,Amatrol's Automation Training Systems,Amatrol,CNC & Robotics,https://tech-labs.com/products/amatrols-automation-training-systems,Hydraulics / Pneumatics Trainers,Programmable Logic Controllers
13,Amatrol's CNC Machine Operator Program,Amatrol,Oil & Gas,https://tech-labs.com/products/amatrols-cnc-machine-operator-program,Hydraulics / Pneumatics Trainers,Hydraulics / Pneumatics Trainers
14,Amatrol's Electrical Training Systems,Amatrol,Oil & Gas,https://tech-labs.com/products/amatrols-electrical-training-systems,Electrical,Solar Energy
15,Amatrol's Fluid Power Training Systems,Amatrol,Oil & Gas,https://tech-labs.com/products/amatrols-fluid-power-training-systems,Hydraulics / Pneumatics Trainers,Portable Learning Systems
16,Amatrol's Mechanical Training Systems,Amatrol,STEM / Robotics Education,https://tech-labs.com/products/amatrols-mechanical-training-systems,Process Control Training Systems,Portable Learning Systems
17,Amatrol's STEM Program,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/amatrols-stem-program,Advanced Manufacturing,Portable Learning Systems
18,Basic Electrical Machines Learning System,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/basic-electrical-machines-learning-system,Advanced Manufacturing,Portable Learning Systems
19,Basic Electrical Machines Learning System – 85-MT2,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/basic-electrical-machines-learning-system-%E2%80%93-85-mt2,Advanced Manufacturing,Logistics
20,Basic Hydraulics Learning System,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/basic-hydraulics-learning-system,Advanced Manufacturing,Industry 4.0
21,Basic Pneumatics Learning System,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/basic-pneumatics-learning-system,Advanced Manufacturing,Oil & Gas
22,Centrifugal Pump Learning System,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/centrifugal-pump-learning-system,Advanced Manufacturing,Mechatronics
23,Electric Relay Control Learning System,,Advanced Manufacturing,https://tech-labs.com/products/electric-relay-control-learning-system,Advanced Manufacturing,
24,Electro-Hydraulics Learning System,,e-Learning,https://tech-labs.com/products/electro-hydraulics-learning-system,Advanced Manufacturing,
25,Level and Flow Process Control Troubleshooting Learning System,,Advanced Manufacturing,https://tech-labs.com/products/level-and-flow-process-control-troubleshooting-learning-system,Advanced Manufacturing,
26,MSSC Certified Production Technician,,Advanced Manufacturing,https://tech-labs.com/products/mssc-certified-production-technician,Advanced Manufacturing,
27,Plastics Technology 1 Learning System | Injection Molding Training,,Portable Learning Systems,https://tech-labs.com/products/plastics-technology-1-learning-system-injection-molding-training,Wind Energy,
28,Plastics Technology 2 Learning System | Blow Molding & Extrusion Training,,Portable Learning Systems,https://tech-labs.com/products/plastics-technology-2-learning-system-blow-molding-extrusion-training,Hydraulics / Pneumatics Trainers,
