,modelname,manufacturer,category,programurl
0,Micromill CNC Milling Machine,Denford,CNC & Robotics,https://tech-labs.com/products/micromill-cnc-milling-machine
1,Microturn CNC Lathe,Denford,CNC & Robotics,https://tech-labs.com/products/denford-microturn
2,"MRC 40 Router, Miller & Engraver",Denford,CNC & Robotics,https://tech-labs.com/products/mrc-40-router-miller-engraver
3,Router 2600 / Router 2600 Pro,Denford,CNC & Robotics,https://tech-labs.com/products/denford-router-2600-router-2600-pro
4,Router 6600 / Router 6600 Pro,Denford,CNC & Robotics,https://tech-labs.com/products/denford-router-6600-router-6600-pro
5,Router Compact 1000 Pro,Denford,CNC & Robotics,https://tech-labs.com/products/denford-compact-1000-pro
6,Turn 270 Pro CNC Lathe,Denford,CNC & Robotics,https://tech-labs.com/products/denford-turn-270-pro-cnc-lathe
7,Turn 370 Pro CNC Lathe,Denford,CNC & Robotics,https://tech-labs.com/products/denford-turn-370-pro-cnc-lathe
8,Vertical Router,Denford,CNC & Robotics,https://tech-labs.com/products/denford-vertical-router
9,VMC 1300/PRO CNC Milling Machine,Denford,CNC & Robotics,https://tech-labs.com/products/vmc-1300pro-cnc-milling-machine
10,Heavy Equipment Training Simulators,Oiltec Solutions,Simulators,https://tech-labs.com/products/heavy-equipment-simulators
11,SimSpray Paint Simulation,Denford,CNC & Robotics,https://tech-labs.com/products/paint-simulation
12,Portable Learning Systems,EduSmart,Science and STEM Resources,https://tech-labs.com/products/portable-learning-systems-0
13,Port Crane Simulators,EduSmart,Science and STEM Resources,https://tech-labs.com/products/port-crane-simulators-0
14,Robotics,EduSmart,Science and STEM Resources,https://tech-labs.com/products/robotics
15,PCB Engraver,FANUC America,Advanced Manufacturing,https://tech-labs.com/products/denford-pcb-engraver
16,EduSmart Elementary Science,APT Manufacturing Solutions,Advanced Manufacturing,https://tech-labs.com/products/edusmart-elementary-science
17,EduSmart High School Science,APT Manufacturing Solutions,Advanced Manufacturing,https://tech-labs.com/products/edusmart-high-school-science
18,EduSmart Middle School Science,FANUC America,Advanced Manufacturing,https://tech-labs.com/products/edusmart-middle-school-science
19,FANUC CRX Series Collaborative Robot,FANUC America,CNC & Robotics,https://tech-labs.com/products/fanuc-crx-series-collaborative-robot
20,Weld CERT Cart,FANUC America,Advanced Manufacturing,https://tech-labs.com/products/weld-cert-cart
21,CSM Manufacturing,FANUC America,Robotics,https://tech-labs.com/products/csm-manufacturing
22,FANUC CERT Education M-1iA Cart,FANUC America,Robotics,https://tech-labs.com/products/fanuc-cert-education-m-1ia-cart
23,Fanuc CNC Certified Education Training Program,FANUC America,Robotics,https://tech-labs.com/products/fanuc-cnc-certified-education-training-program
24,FANUC CNC Simulator,FANUC America,Advanced Manufacturing,https://tech-labs.com/products/fanuc-cnc-simulator
25,FANUC CR-35iA,FANUC America,Robotics,https://tech-labs.com/products/fanuc-cr-35ia
26,FANUC CR-4iA,FANUC America,Advanced Manufacturing,https://tech-labs.com/products/fanuc-cr-4ia
27,FANUC CR-7iA,FANUC America,Advanced Manufacturing,https://tech-labs.com/products/fanuc-cr-7ia
28,FANUC Fenceless CR-4iA Collaborative Cert Cart,FANUC America,Advanced Manufacturing,https://tech-labs.com/products/fanuc-fenceless-cr-4ia-collaborative-cert-cart
29,FANUC SCARA SR Series Robots,APT Manufacturing Solutions,Advanced Manufacturing,https://tech-labs.com/products/fanuc-scara-sr-series-robots
30,Levil LMT-300 CNC Mill-Turn,FANUC America,CNC & Robotics,https://tech-labs.com/products/levil-lmt-300-cnc-mill-turn
31,Levil LTC-30 Series,FANUC America,CNC & Robotics,https://tech-labs.com/products/levil-ltc-30-series
32,Robot Loaded Machining Center,FANUC America,Advanced Manufacturing,https://tech-labs.com/products/robot-loaded-machining-center
33,Advanced Manufacturing CERT M20 Cell,FANUC America,Advanced Manufacturing,https://tech-labs.com/products/advanced-manufacturing-cert-m20-cell
34,Doosan DEM 4000 Mill,FANUC America,CNC & Robotics,https://tech-labs.com/products/doosan-dem-4000-mill
35,Doosan LEO 1600 Lathe,FANUC America,Robotics,https://tech-labs.com/products/doosan-leo-1600-lathe
36,EDUMiLL,FANUC America,Advanced Manufacturing,https://tech-labs.com/products/edumill
37,FANUC CERT Cart - LR MATE 200iD,FANUC America,Automation,https://tech-labs.com/products/fanuc-cert-cart-lr-mate-200id
38,Fanuc Certified Robot Training,FANUC America,CNC & Robotics,https://tech-labs.com/products/fanuc-certified-robot-training
39,FANUC CR-7iA/L,Amatrol,Automation,https://tech-labs.com/products/fanuc-cr-7ial
40,FANUC Educational Package,FANUC America,Advanced Manufacturing,https://tech-labs.com/products/fanuc-educational-package
41,Fanuc LR Mate 200 i D/4S Fenceless Cart,APT Manufacturing Solutions,Advanced Manufacturing,https://tech-labs.com/products/fanuc-lr-mate-200-i-d4s-fenceless-cart
42,Fanuc ROBODRILL Certified Education Packages,APT Manufacturing Solutions,Advanced Manufacturing,https://tech-labs.com/products/fanuc-robodrill-certified-education-packages
43,Fanuc Robot Integration Package,APT Manufacturing Solutions,Advanced Manufacturing,https://tech-labs.com/products/fanuc-robot-integration-package
44,Levil LMV-F400 Milling Machine,FANUC America,Advanced Manufacturing,https://tech-labs.com/products/levil-lmv-f400-milling-machine
45,Machine Tending Education Cell,iConnect Training,HVAC Training,https://tech-labs.com/products/machine-tending-education-cell
46,Machine Tending Education Cell with CNC Simulator,iConnect Training,HVAC Training,https://tech-labs.com/products/machine-tending-education-cell-cnc-simulator
47,PLC HMI Trainer,iConnect Training,HVAC Training,https://tech-labs.com/products/plc-hmi-trainer
48,ClassMate™ Robotic Welding Trainer,iConnect Training,HVAC Training,https://tech-labs.com/products/classmate%E2%84%A2-robotic-welding-trainer
49,Basic Refrigeration Fundamentals,iConnect Training,HVAC Training,https://tech-labs.com/products/basic-refrigeration-fundamentals
50,Basic Refrigeration Training Unit with Water Cooled Condenser,iConnect Training,HVAC Training,https://tech-labs.com/products/basic-refrigeration-training-unit-water-cooled-condenser
51,Combination Forced Air & Hydronic Heating Trainer,iConnect Training,HVAC Training,https://tech-labs.com/products/combination-forced-air-hydronic-heating-trainer
52,Commercial Refrigeration Trainer,iConnect Training,HVAC Training,https://tech-labs.com/products/commercial-refrigeration-trainer
53,Dual-Application Commercial Refrigeration Trainer,iConnect Training,HVAC Training,https://tech-labs.com/products/dual-application-commercial-refrigeration-trainer
54,Electric Heating Control Board Trainer,Amatrol,HVAC Training,https://tech-labs.com/products/electric-heating-control-board-trainer
55,Gas Fired Heating Control Board,iConnect Training,HVAC Training,https://tech-labs.com/products/gas-fired-heating-control-board
56,Industrial Refrigeration Trainer,iConnect Training,HVAC Training,https://tech-labs.com/products/industrial-refrigeration-trainer
57,"Motors, Controls & Circuits Build-Up Trainer",Amatrol,HVAC Training,https://tech-labs.com/products/motors-controls-circuits-build-trainer
58,Refrigerant Recovery and Charging Learning Systems for R-410a,iConnect Training,HVAC Training,https://tech-labs.com/products/refrigerant-recovery-and-charging-learning-systems-r-410a
59,Residential A/C and Heat Pump Equipment Package,iConnect Training,HVAC Training,https://tech-labs.com/products/residential-ac-and-heat-pump-equipment-package
60,Residential Air Conditioning,DAC Worldwide,HVAC Training,https://tech-labs.com/products/residential-air-conditioning
61,Residential Mini-Split Heat Pump Learning System,DAC Worldwide,HVAC Training,https://tech-labs.com/products/residential-mini-split-heat-pump-learning-system
62,Residential Wiring Demonstrator,DAC Worldwide,HVAC Training,https://tech-labs.com/products/residential-wiring-demonstrator
63,Residential Wiring Trainer,DAC Worldwide,HVAC Training,https://tech-labs.com/products/residential-wiring-trainer
64,ACR Liquid Line Filter/Drier Cutaway,DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-liquid-line-filterdrier-cutaway
65,"ACR Liquid Line Filter/Drier Cutaway, Bi-Directional",DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-liquid-line-filterdrier-cutaway-bi-directional
66,ACR Magnetic Check Valve Cutaway,DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-magnetic-check-valve-cutaway
67,ACR Manual Balancing Valve Cutaway,DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-manual-balancing-valve-cutaway
68,"ACR Oil Separator Cutaway, Float-Type",DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-oil-separator-cutaway-float-type
69,"ACR Oil Separator Cutaway, Helical-Type",DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-oil-separator-cutaway-helical-type
70,ACR Packless Diaphragm Line Valve Cutaway,DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-packless-diaphragm-line-valve-cutaway
71,ACR Solenoid Valve Cutaway,Amatrol,HVAC Training,https://tech-labs.com/products/acr-solenoid-valve-cutaway
72,ACR Steel Ball Valve Cutaway,iConnect Training,HVAC Training,https://tech-labs.com/products/acr-steel-ball-valve-cutaway
73,ACR Straight-Thru Pressure Relief Valve Cutaway,DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-straight-thru-pressure-relief-valve-cutaway
74,ACR Suction Line Accumulator Cutaway,DAC Worldwide,HVAC Training,https://tech-labs.com/products/acr-suction-line-accumulator-cutaway
75,Amatrol's Thermal Training Systems,DAC Worldwide,HVAC Training,https://tech-labs.com/products/amatrols-thermal-training-systems
76,Basic Refrigeration Trainer,iConnect Training,HVAC Training,https://tech-labs.com/products/basic-refrigeration-trainer
77,Ceiling Unit Cooler System Cutaway,iConnect Training,HVAC Training,https://tech-labs.com/products/ceiling-unit-cooler-system-cutaway
78,Compressor Service King Valve Cutaway,iConnect Training,HVAC Training,https://tech-labs.com/products/compressor-service-king-valve-cutaway
79,Condenser Pressure Control Valve Cutaway (KVR),DAC Worldwide,HVAC Training,https://tech-labs.com/products/condenser-pressure-control-valve-cutaway-kvr
80,DDC/BAS Programmer Training Unit,DAC Worldwide,HVAC Training,https://tech-labs.com/products/ddcbas-programmer-training-unit
81,Domestic Refrigeration Build-Up Trainer,DAC Worldwide,HVAC Training,https://tech-labs.com/products/domestic-refrigeration-build-trainer
82,Fundamentals of Refrigeration Demonstrator,DAC Worldwide,HVAC Training,https://tech-labs.com/products/fundamentals-refrigeration-demonstrator
83,Heat Pump Reversing Valve Cutaway,iConnect Training,HVAC Training,https://tech-labs.com/products/heat-pump-reversing-valve-cutaway
84,Hermetic Compressor Cutaway,iConnect Training,HVAC Training,https://tech-labs.com/products/hermetic-compressor-cutaway
85,Hermetic Rotary Compressor Cutaway,iConnect Training,HVAC Training,https://tech-labs.com/products/hermetic-rotary-compressor-cutaway
86,Hermetic Scroll Refrigeration Compressor Cutaway,iConnect Training,HVAC Training,https://tech-labs.com/products/hermetic-scroll-refrigeration-compressor-cutaway
87,HVAC Controls Training System,iConnect Training,HVAC Training,https://tech-labs.com/products/hvac-controls-training-system
88,HVAC Electrical Control Trainer,DAC Worldwide,HVAC Training,https://tech-labs.com/products/hvac-electrical-control-trainer
89,Intro to BAS Controllers,Amatrol,HVAC Training,https://tech-labs.com/products/intro-bas-controllers
90,Intro to HVAC/BAS Training System,iConnect Training,HVAC Training,https://tech-labs.com/products/intro-hvacbas-training-system
91,Mobile Table-Top Air Conditioning & Refrigeration Trainer,Amatrol,HVAC Training,https://tech-labs.com/products/mobile-table-top-air-conditioning-refrigeration-trainer
92,Open Drive Refrigeration Compressor Cutaway,DAC Worldwide,HVAC Training,https://tech-labs.com/products/open-drive-refrigeration-compressor-cutaway
93,Refrigerant Recovery and Charging Learning Systems for R-134a,iConnect Training,HVAC Training,https://tech-labs.com/products/refrigerant-recovery-and-charging-learning-systems-r-134a
94,Residential Heat Pump Trainer,DAC Worldwide,HVAC Training,https://tech-labs.com/products/residential-heat-pump-trainer
95,Residential Heat Pump Troubleshooting Training System,DAC Worldwide,HVAC Training,https://tech-labs.com/products/residential-heat-pump-troubleshooting-training-system
96,Schrader Service Valve Cutaway,iConnect Training,HVAC Training,https://tech-labs.com/products/schrader-service-valve-cutaway
97,Sedona BAS Controller Simulator,Levil Technology,Advanced Manufacturing,https://tech-labs.com/products/sedona-bas-controller-simulator
98,Semi-Hermetic Compressor Cutaway,Lincoln Electric,Welding,https://tech-labs.com/products/semi-hermetic-compressor-cutaway
99,Sightglass with Moisture Indicator Cutaway,Lincoln Electric,Welding,https://tech-labs.com/products/sightglass-moisture-indicator-cutaway
100,Single Phase Compressor Control Board,Lincoln Electric,Welding,https://tech-labs.com/products/single-phase-compressor-control-board
101,EEV Table-Top Air Conditioning & Refrigeration Trainer,Lincoln Electric,Advanced Manufacturing,https://tech-labs.com/products/eev-table-top-air-conditioning-refrigeration-trainer
102,LMV-300 CNC,Lincoln Electric,Welding,https://tech-labs.com/products/lmv-300-cnc
103,RealWeld Trainer (Base Model),LJ Create,Automotive,https://tech-labs.com/products/realweld-trainer-base-model
104,REALWELD® Trainer One-Pak® Package,LJ Create,K-12 Education,https://tech-labs.com/products/realweld%C2%AE-trainer-one-pak%C2%AE-package
105,VRTEX 360 Virtual Reality Arc Welding Training System,LJ Create,K-12 Education,https://tech-labs.com/products/vrtex-360
106,VRTEX Engage,LJ Create,e-Learning,https://tech-labs.com/products/vrtex-engage
107,VRTEX Transport Virtual Reality Welding Training Simulator,LJ Create,STEM / Robotics Education,https://tech-labs.com/products/vrtex-transport
108,Hybrid and Electric Vehicle Trainer,LJ Create,e-Learning,https://tech-labs.com/products/hybrid-and-electric-vehicle-trainer
109,Living with STEM: Elementary,Lucas-Nuelle,Automotive,https://tech-labs.com/products/living-stem-elementary
110,LJ Create Career and Technical Education (CTE),Lucas-Nuelle,Lucas-Nuelle,https://tech-labs.com/products/lj-create-career-and-technical-education-cte
111,LJ Create Engineering,Lucas-Nuelle,Power Engineering,https://tech-labs.com/products/lj-create-engineering
112,LJ Create Smart Labs,Lucas-Nuelle,Power Engineering,https://tech-labs.com/products/lj-create-smart-labs
113,LJ Create Working with STEM AutoLab,Lucas-Nuelle,Automotive,https://tech-labs.com/products/lj-create-working-stem-autolab
114,CarTrain Diagnosis and Maintenance of a High Voltage Battery,Lucas-Nuelle,Automotive,https://tech-labs.com/products/cartrain-diagnosis-and-maintenance-high-voltage-battery
115,First Responder Trainer for HEV/EV,Lucas-Nuelle,Automotive,https://tech-labs.com/products/first-responder-trainer-hevev
116,Micro Grids,MakerBot,3D Printers for K-12,https://tech-labs.com/products/micro-grids
117,Smart Grids,MakerBot,3D Printers for K-12,https://tech-labs.com/products/smart-grids
118,TruckTrain Heavy Duty Hybrid and Electric Vehicles,MakerBot,3D Printers for K-12,https://tech-labs.com/products/trucktrain-heavy-duty-hybrid-and-electric-vehicles
119,TruckTrain Smart Farming 4.0,Marcraft,IT & Cyber Security,https://tech-labs.com/products/trucktrain-smart-farming-40
120,ASE L3 Trainer Light Duty Hybrid/Electric Vehicle Specialist,Marcraft,Green Energy,https://tech-labs.com/products/ase-l3-trainer-light-duty-hybridelectric-vehicle-specialist
121,MakerBot Method and Method X,Marcraft,IT & Cyber Security,https://tech-labs.com/products/makerbot-method-and-method-x
122,MakerBot Method Carbon Fiber,Marcraft,IT & Cyber Security,https://tech-labs.com/products/makerbot-method-carbon-fiber
123,MakerBot Sketch Classroom,Marcraft,IT & Cyber Security,https://tech-labs.com/products/makerbot-sketch-classroom
124,Marcraft IT Certification Programs,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/marcraft-it-certification-programs
125,Marcraft Renewable Energy & Energy Efficiency,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/marcraft-renewable-energy-energy-efficiency
126,Digital Forensics,MSSC,Advanced Manufacturing,https://tech-labs.com/products/digital-forensics
127,Marcraft Cyber Security Essentials: Concepts & Practices,MSSC,Advanced Manufacturing,https://tech-labs.com/products/marcraft-cyber-security-essentials-concepts-practices
128,Residential Electronics Systems Integrator,MSSC,Certifications,https://tech-labs.com/products/residential-electronics-systems-integrator
129,Skill Boss: Comprehensive Assessment,MSSC,Advanced Manufacturing,https://tech-labs.com/products/skill-boss-comprehensive-assessment
130,Amatrol Skill Boss Logistics,sciTEX learning,K-12 Education,https://tech-labs.com/products/amatrol-skill-boss-logistics
131,Certified Forklift Technician (CFT),sciTEX learning,K-12 Education,https://tech-labs.com/products/certified-forklift-technician-cft
132,Certified Logistics Technician (CLT),sciTEX learning,K-12 Education,https://tech-labs.com/products/certified-logistics-technician-clt
133,Certified Production Technician (CPT),SimSpray,Simulators,https://tech-labs.com/products/certified-production-technician-cpt
134,Certified Technician-Supply Chain Automation,SimSpray,Portable Learning Systems,https://tech-labs.com/products/certified-technician-supply-chain-automation
135,SciTex Learning for Elementary Schools,Amatrol,Process Control Training Systems,https://tech-labs.com/products/scitex-learning-elementary-schools
136,SciTex Learning for High Schools,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/scitex-learning-high-schools
137,SciTex Learning for Middle Schools,Amatrol,Advanced Manufacturing,https://tech-labs.com/products/scitex-learning-middle-schools
