,modelname,manufacturer,category,categoryinfo2,categoryinfo3,Program url
0,Axial Compressor Model,DAC Worldwide,DAC Worldwide Training Solutions,DAC Models,"Pumps, Compressors & Valves",https://tech-labs.com/products/axial-compressor-model
1,1-Phase Motor Control Training System with Magnetic Starter,DAC Worldwide,DAC Training Systems,Electrical/Electronics,Process Control & Instrumentation,https://tech-labs.com/products/1-phase-motor-control-training-system-magnetic-starter
2,1-Phase Motor Control Training System with Manual Starter,DAC Worldwide,DAC Training Systems,Electrical/Electronics,HVAC Cutaways,https://tech-labs.com/products/1-phase-motor-control-training-system-manual-starter
3,"100A, Single Pole Circuit Breaker Cutaway",DAC Worldwide,DAC Cutaways,Electrical/Electronics,HVAC Cutaways,https://tech-labs.com/products/100a-single-pole-circuit-breaker-cutaway
4,3-Component Coupling Shaft Alignment Training System,DAC Worldwide,DAC Training Systems,Mechanical Drives,HVAC Cutaways,https://tech-labs.com/products/3-component-coupling-shaft-alignment-training-system
5,3-Component Coupling Shaft Alignment Training System Plus,DAC Worldwide,DAC Training Systems,Mechanical Drives,HVAC Cutaways,https://tech-labs.com/products/3-component-coupling-shaft-alignment-training-system-plus
6,3-Phase Motor Control Training System with Magnetic Starter,DAC Worldwide,DAC Training Systems,Electrical/Electronics,HVAC Cutaways,https://tech-labs.com/products/3-phase-motor-control-training-system-magnetic-starter
7,"3-Phase Motor Control Training System with Magnetic Starter, Low Voltage Star",DAC Worldwide,DAC Training Systems,Electrical/Electronics,HVAC Cutaways,https://tech-labs.com/products/3-phase-motor-control-training-system-magnetic-starter-low-voltage-star
8,3-Phase Motor Control Training System with Manual Starter,DAC Worldwide,DAC Training Systems,Electrical/Electronics,HVAC Cutaways,https://tech-labs.com/products/3-phase-motor-control-training-system-manual-starter
9,3-Variable Process Control Training System,DAC Worldwide,DAC Training Systems,Process Control & Instrumentation,HVAC Cutaways,https://tech-labs.com/products/3-variable-process-control-training-system
10,Furniture,DAC Worldwide,DAC Worldwide Training Solutions,Port Crane Simulators,HVAC Cutaways,https://tech-labs.com/products/furniture
11,Skill Boss: Comprehensive Assessment,DAC Worldwide,Advanced Manufacturing,DAC Training Systems,HVAC Cutaways,https://tech-labs.com/products/skill-boss-comprehensive-assessment?utm_source=website&utm_medium=vert_ad&utm_campaign=skillboss
12,Portable Learning Systems,DAC Worldwide,Simulators,Electrical/Electronics,HVAC Cutaways,https://tech-labs.com/products/portable-learning-systems?utm_source=website&utm_medium=vert_ad&utm_campaign=port
13,Heavy Equipment Training Simulators,DAC Worldwide,Process Control Training Systems,DAC Cutaways,Oil Production,https://tech-labs.com/products/heavy-equipment-simulators
14,SimSpray Paint Simulation,DAC Worldwide,DAC Training Systems,DAC Cutaways,"Pumps, Compressors & Valves",https://tech-labs.com/products/paint-simulation
15,Portable Learning Systems,DAC Worldwide,HVAC Training,DAC Cutaways,Oil Production,https://tech-labs.com/products/portable-learning-systems?utm_source=website&utm_medium=vert_ad&utm_campaign=port
16,Port Crane Simulators,DAC Worldwide,HVAC Training,DAC Cutaways,"Pumps, Compressors & Valves",https://tech-labs.com/products/port-crane-simulators-0
17,Robotics,DAC Worldwide,HVAC Training,DAC Cutaways,Oil Production,https://tech-labs.com/products/robotics
18,4-Variable Advanced Process Control Training System,DAC Worldwide,HVAC Training,DAC Cutaways,Sample Drives | Mechanical Drives,https://tech-labs.com/products/4-variable-advanced-process-control-training-system
19,AC Variable Frequency Drive Training System Plus,DAC Worldwide,HVAC Training,DAC Cutaways,Sample Drives | Mechanical Drives,https://tech-labs.com/products/ac-variable-frequency-drive-training-system-plus
20,ACR Liquid Line Filter/Drier Cutaway,DAC Worldwide,HVAC Training,DAC Cutaways,Oil Production,https://tech-labs.com/products/acr-liquid-line-filterdrier-cutaway
21,"ACR Liquid Line Filter/Drier Cutaway, Bi-Directional",DAC Worldwide,HVAC Training,DAC Cutaways,"Pumps, Compressors & Valves",https://tech-labs.com/products/acr-liquid-line-filterdrier-cutaway-bi-directional
22,ACR Magnetic Check Valve Cutaway,DAC Worldwide,HVAC Training,DAC Cutaways,HVAC Cutaways,https://tech-labs.com/products/acr-magnetic-check-valve-cutaway
23,ACR Manual Balancing Valve Cutaway,DAC Worldwide,HVAC Training,DAC Cutaways,Mechanical Drives Cutaways,https://tech-labs.com/products/acr-manual-balancing-valve-cutaway
24,"ACR Oil Separator Cutaway, Float-Type",DAC Worldwide,HVAC Training,HVAC Cutaways,"Pumps, Compressors & Valves",https://tech-labs.com/products/acr-oil-separator-cutaway-float-type
25,"ACR Oil Separator Cutaway, Helical-Type",DAC Worldwide,HVAC Training,DAC Cutaways,Sample Drives | Mechanical Drives,https://tech-labs.com/products/acr-oil-separator-cutaway-helical-type
26,ACR Packless Diaphragm Line Valve Cutaway,DAC Worldwide,DAC Cutaways,Mechanical Drives,Oil Production,https://tech-labs.com/products/acr-packless-diaphragm-line-valve-cutaway
27,ACR Solenoid Valve Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,Mechanical Drives,"Pumps, Compressors & Valves",https://tech-labs.com/products/acr-solenoid-valve-cutaway
28,ACR Steel Ball Valve Cutaway,DAC Worldwide,DAC Training Systems,Heat Transfer & Steam,"Pumps, Compressors & Valves",https://tech-labs.com/products/acr-steel-ball-valve-cutaway
29,ACR Straight-Thru Pressure Relief Valve Cutaway,DAC Worldwide,DAC Training Systems,Dissectibles,HVAC Cutaways,https://tech-labs.com/products/acr-straight-thru-pressure-relief-valve-cutaway
30,ACR Suction Line Accumulator Cutaway,DAC Worldwide,DAC Models,DAC Cutaways,HVAC Cutaways,https://tech-labs.com/products/acr-suction-line-accumulator-cutaway
31,"ACR Thermostatic Expansion Valve Cutaway, Fixed-Type",DAC Worldwide,DAC Worldwide Training Solutions,Heat Transfer & Steam,Process Control & Instrumentation,https://tech-labs.com/products/acr-thermostatic-expansion-valve-cutaway-fixed-type
32,Adjustable Oil Field Choke Valve Cutaway,DAC Worldwide,DAC Worldwide Training Solutions,Dissectibles,Sample Drives | Mechanical Drives,https://tech-labs.com/products/adjustable-oil-field-choke-valve-cutaway
33,Advanced Bearing Maintenance Trainer,DAC Worldwide,DAC Models,DAC Cutaways,Oil Production,https://tech-labs.com/products/advanced-bearing-maintenance-trainer
34,Advanced Vibration Analysis Training System Plus,DAC Worldwide,DAC Worldwide Training Solutions,Mechanical Drives,Mechanical Drives Cutaways,https://tech-labs.com/products/advanced-vibration-analysis-training-system-plus
35,Air-Cooled (Fin-Fan) Heat Exchanger Model,DAC Worldwide,DAC Worldwide Training Solutions,Mechanical Drives,Mechanical Drives,https://tech-labs.com/products/air-cooled-fin-fan-heat-exchanger-model
